cJobId,cTitle,Status,Created Date,Start Date,End Date,sWork,Employer,sEducation,sExperience,sLocation,sOccupation,Occupation,Hours Per Week,Currency,Salary Frequency,Salary Description,Minimum Salary,Maximum Salary,fMinSalary,fMaxSalary,fMeanSalary,Sub-Industry,sIndustry
N4Y4V3,Cashier,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Brown's Holdings Ltd,High School or Equivalent,1-2 Years,George Town,275,Cashiers and Ticket Clerks,45,KYD,Per Month,"KYD$1,170 - KYD$2,500 Monthly","$14,040","$30,000","$14,040","$30,000","$22,020",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
T4W7Q8,Handy Man,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Complete Maintenance Ltd,High School or Equivalent,3-4 Years,George Town,262,Building caretakers,40,KYD,Per Week,KYD$400 - KYD$600 Weekly,"$20,800","$31,200","$20,800","$31,200","$26,000",Maintenance & Repair of Buildings,Administrative and Support Service Activities
W4H2U3,Equipment Yard Associate,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Massive Equipment Rentals & Sales Ltd.,High School or Equivalent,1-2 Years,George Town,456,Manufacturing labourers not elsewhere classified,45,KYD,Per Hour,KYD$9 - KYD$10 Per Hour (paid Per Hour),"$21,060","$23,400","$21,060","$23,400","$22,230",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
X2Y8M3,Septic Truck Driver,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Professional Waste Management Limited,High School or Equivalent,5-6 Years,George Town,433,Heavy truck and lorry drivers,45.5,KYD,Per Month,"KYD$18,005.26 - KYD$19,211.92 Per Annum (paid Monthly)","$18,005","$19,212","$18,005","$19,212","$18,609","Water Supply, Sewerage & Waste Management","Water Supply; Sewerage, Waste Management and Remediation Activities"
Y4K8J4,Food And Beverage Server,Closed,02-Jan-25,03-Jan-25,17-Jan-25,Full-time,Barbara & Grayson Liberty T/a Libertys Restaurant,High School or Equivalent,5-6 Years,George Town,256,Waiters,40,KYD,Per Hour,KYD$6 Per Hour (paid Per Hour),"$12,480","$12,480","$12,480","$12,480","$12,480","Restaurants, Mobile Food & Beverages Services",Accommodation and Food Service Activities
Y5X6N8,Tiler,Closed,02-Jan-25,02-Jan-25,16-Jan-25,Full-time,Siena Tile And Stone Limited T/a Siena Stone,High School or Equivalent,5-6 Years,George Town,325,Floor layers and tile setters,45,KYD,Bi-Weekly,"KYD$35,100 - KYD$42,120 Per Annum (paid Bi-Weekly)","$35,100","$42,120","$35,100","$42,120","$38,610",Building Completion & Finishing,Construction
A4S3N6,General Helper,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Home And Outdoor Ltd.,High School or Equivalent,Less Than 1 Year,George Town,441,Cleaners and helpers in offices hotels and other establishments,45,KYD,Per Month,"KYD$14,040 - KYD$16,380 Per Annum (paid Monthly)","$14,040","$16,380","$14,040","$16,380","$15,210",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
A5Y7F7,General Maintenance Man,Active,03-Jan-25,03-Jan-25,01-Jul-25,Full-time,Morritts Properties Cayman Limited T/a Morritts Tortuga,High School or Equivalent,1-2 Years,East End,454,Building construction labourers,45,KYD,Bi-Weekly,KYD$11 - KYD$12 Per Hour (paid Bi-Weekly),"$25,740","$28,080","$25,740","$28,080","$26,910",Accommodation,Accommodation and Food Service Activities
A8C7N5,Junior Office Coordinator ,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Waystone Governance Ltd,High School or Equivalent,3-4 Years,Camana Bay,99,Administration Professionals,37.5,USD,Per Month,"USD$30,000 - USD$36,000 Per Annum (paid Monthly)","$30,000","$36,000","$25,000","$30,000","$27,500",Financial & Insurance Services,Financial and Insurance Activities
B2S8E4,Painter,Closed,03-Jan-25,02-Jan-25,16-Jan-25,Full-time,Teann Lara Bodden T/a Caribcay Construction,High School or Equivalent,10+ Years,Bodden Town,331,Painters and related workers,45,KYD,Per Week,KYD$630 Weekly,"$32,760","$32,760","$32,760","$32,760","$32,760",Construction & Civil Engineering,Construction
B3E2B4,Kitchen Helper,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Mix And Match In The Box,High School or Equivalent,5-6 Years,George Town,463,Kitchen helpers,45,KYD,Bi-Monthly,KYD$6 - KYD$8 Per Hour (paid Bi-Monthly),"$14,040","$18,720","$14,040","$18,720","$16,380",Event Catering,Accommodation and Food Service Activities
B4N8E2,Coordinator,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Simply Biz,Some College/University,3-4 Years,George Town,99,Administration Professionals,40,KYD,Per Month,KYD$10 - KYD$15 Per Hour (paid Monthly) + gratuities,"$20,800","$31,200","$20,800","$31,200","$26,000",Maintenance & Repair of Buildings,Administrative and Support Service Activities
B4Y3V7,Senior Banking Services Administrator ,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Citco Bank And Trust Company Limited,Bachelor´s Degree,3-4 Years,Camana Bay,183,Accounting associate professionals,40,USD,Per Month,"USD$55,000 - USD$70,000 Per Annum (paid Monthly)","$55,000","$70,000","$45,833","$58,333","$52,083",Financial & Insurance Services,Financial and Insurance Activities
B5F6S5,Warehouse Worker/deliveryman,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Maedac Supply Co. Ltd.,High School or Equivalent,1-2 Years,Red Bay / Prospect,283,Sales workers not elsewhere classified,45,KYD,Per Month,"KYD$32,500 - KYD$38,350 Per Annum (paid Monthly)","$32,500","$38,350","$32,500","$38,350","$35,425",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
B7A6V3,Yacht Maintenance/captain/ Instructor Maintenance/captain/ Instructor Maintenance/captain/,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Professioinal Yacht Management Ltd.,Certificate/Diploma,5-6 Years,George Town,438,Ships deck crews and related workers,42.5,KYD,Per Month,"KYD$3,200.82 - KYD$3,449.44 Monthly","$38,410","$41,393","$38,410","$41,393","$39,902",Manufacturing,Manufacturing
B8J4U6,Yacht Maintenance/captain/ Instructor Maintenance/captain/ Instructor Maintenance/captain/,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Professioinal Yacht Management Ltd.,Certificate/Diploma,5-6 Years,George Town,438,Ships deck crews and related workers,42.5,KYD,Per Year,"KYD$33,150 - KYD$44,200 Per Annum (paid Per Annum)","$33,150","$44,200","$33,150","$44,200","$38,675",Manufacturing,Manufacturing
B8N5T6,Construction Laborer,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Shaneki Morrison,High School or Equivalent,5-6 Years,George Town,454,Building construction labourers,45,KYD,Per Week,KYD$270 - KYD$540 Weekly,"$14,040","$28,080","$14,040","$28,080","$21,060",Construction & Civil Engineering,Construction
B8P7E6,Massage Therapist,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Leticia Ardiente Catanghal T/a Head To Toes,High School or Equivalent,1-2 Years,George Town,259,Beauticians and related workers,45,KYD,Bi-Weekly,KYD$6 - KYD$8 Per Hour (paid Bi-Weekly),"$14,040","$18,720","$14,040","$18,720","$16,380","Hairdressing, Beauty Treatment & Other Personal Care",Other Service Activities
C2K4R5,Senior Account Manager,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Strategic Risk Solutions (cayman) Limited,Bachelor´s Degree,5-6 Years,Seven Mile Beach,96,Accountants,37.5,USD,Per Month,USD$51.28 - USD$61.54 Per Hour (paid Monthly),"$100,000","$120,000","$83,333","$100,000","$91,667",Business & Management Consultancy,"Professional, Scientfic and Technical Activities"
C2X6F6,Cabinet Installer,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Pooley Cabinets Industries Ltd.,High School or Equivalent,3-4 Years,George Town,322,Carpenters and joiners,45,KYD,Bi-Weekly,KYD$12 - KYD$15 Per Hour (paid Bi-Weekly),"$28,080","$35,100","$28,080","$35,100","$31,590",Manufacturing,Manufacturing
C3C4D4,Appliance Installation Technician,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Wirl Trading Co Ltd T/a Brandsource Home Gallery,Certificate/Diploma,3-4 Years,George Town,425,Electrical and electronic equipment assemblers,45,KYD,Per Hour,KYD$10 - KYD$14 Per Hour (paid Per Hour),"$23,400","$32,760","$23,400","$32,760","$28,080",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
C4D2F6,Janitor/ Cleaner,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Kdf Group Ltd T/a Supreme Janitorial & Construction Cleaning Services,High School or Equivalent,5-6 Years,George Town,441,Cleaners and helpers in offices hotels and other establishments,45,KYD,Per Month,"KYD$14,040 Per Annum (paid Monthly)","$14,040","$14,040","$14,040","$14,040","$14,040",Cleaning Services,Administrative and Support Service Activities
C6Q3X2,Pool & Beach Attendant,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Khrg Cayman Employer Ltd,High School or Equivalent,1-2 Years,George Town,256,Waiters,45,USD,Bi-Weekly,USD$6 - USD$9 Per Hour (paid Bi-Weekly) + gratuities,"$14,040","$21,060","$11,700","$17,550","$14,625",Accommodation,Accommodation and Food Service Activities
D3M3P4,Groundsman,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Foster's Food Fair Ltd.,High School or Equivalent,Less Than 1 Year,George Town,242,Stock clerks,45,KYD,Per Week,"KYD$23,985 - KYD$33,017.4 Per Annum (paid Weekly)","$23,985","$33,017","$23,985","$33,017","$28,501",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
D4H4V4,Insolvency Senior Manager,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Bdo Cri (cayman) Ltd.,Bachelor´s Degree,9-10 Years,George Town,96,Accountants,37.5,USD,Per Month,"USD$140,000 - USD$160,000 Per Annum (paid Monthly)","$140,000","$160,000","$116,667","$133,333","$125,000",Financial & Insurance Services,Financial and Insurance Activities
D4T5J5,Auto Mechanic,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Grand Auto Mobile Mechanic Ltd,High School or Equivalent,5-6 Years,George Town,345,Motor vehicle mechanics and repairers,45,KYD,Bi-Weekly,KYD$8 - KYD$12 Per Hour (paid Bi-Weekly),"$18,720","$28,080","$18,720","$28,080","$23,400",Maintenance & Repair of Motor Vehicles & Motorcycles,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
D6U7G6,Carpenter/steel Fixer,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Ruel Brown T/a Precise Construction,High School or Equivalent,5-6 Years,George Town,322,Carpenters and joiners,45,KYD,Bi-Weekly,KYD$10 - KYD$15 Per Hour (paid Bi-Weekly),"$23,400","$35,100","$23,400","$35,100","$29,250",Construction & Civil Engineering,Construction
E2P3G8,Supervisor Of Equipment Drivers And Dispatch,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Massive Equipment Rentals & Sales Ltd.,High School or Equivalent,7-8 Years,George Town,149,Construction Supervisors,45,KYD,Per Month,"KYD$38,001.6 - KYD$42,494.4 Per Annum (paid Monthly)","$38,002","$42,494","$38,002","$42,494","$40,248",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
E2U2C5,Janitor,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Davis Leo Whitfield T/a Cable Tech Service & Maintenance,High School or Equivalent,3-4 Years,Bodden Town,445,Other cleaning workers,45,KYD,Per Week,KYD$292.5 - KYD$315 Weekly,"$15,210","$16,380","$15,210","$16,380","$15,795","Electrical, Plumbing & Air-Conditioning Installation",Construction
E3G6B8,Assistant Manager – Personal Lines,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Bogle Insurnce Brokers Ltd,Bachelor´s Degree,5-6 Years,George Town,30,Financial and insurance services branch managers,45,KYD,Per Month,"KYD$6,000 - KYD$8,000 Monthly","$72,000","$96,000","$72,000","$96,000","$84,000",Financial & Insurance Services,Financial and Insurance Activities
E3P3S8,Licensed Electrician,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Faith Enterprise And Technology Ltd.,Certificate/Diploma,9-10 Years,George Town,364,Building and related electricians,45,KYD,Per Week,KYD$810 - KYD$990 Weekly,"$42,120","$51,480","$42,120","$51,480","$46,800","Electrical, Plumbing & Air-Conditioning Installation",Construction
E3Y3W5,Yacht Maintenance,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Professioinal Yacht Management Ltd.,Certificate/Diploma,5-6 Years,West Bay,438,Ships deck crews and related workers,50,KYD,Per Day,"KYD$39,000 - KYD$57,200 Per Annum (paid Per Day)","$39,000","$57,200","$39,000","$57,200","$48,100",Manufacturing,Manufacturing
E4G4A7,Insolvency Manager,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Bdo Cri (cayman) Ltd.,Bachelor´s Degree,5-6 Years,George Town,96,Accountants,37.5,USD,Per Month,"USD$90,000 - USD$110,000 Per Annum (paid Monthly)","$90,000","$110,000","$75,000","$91,667","$83,333",Financial & Insurance Services,Financial and Insurance Activities
E4T8K4,Food & Beverage Senior Supervisor,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Khrg Cayman Employer Ltd,Certificate/Diploma,1-2 Years,West Bay,33,Restaurant managers,45,USD,Bi-Weekly,USD$8 - USD$12 Per Hour (paid Bi-Weekly) + gratuities,"$18,720","$28,080","$15,600","$23,400","$19,500",Accommodation,Accommodation and Food Service Activities
E6W3Q4,Mason/stone-man,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Colin Williams T/a Css Employment Agency,Certificate/Diploma,5-6 Years,George Town,320,Stonemasons stone cutters splitters and carvers,45,KYD,Bi-Weekly,"KYD$1,350 - KYD$1,620 Bi-Weekly (paid Bi-Weekly)","$35,100","$42,120","$35,100","$42,120","$38,610",Recruitment & Employment Agencies,Administrative and Support Service Activities
E7J4Q3,Mobile Swim Teacher 2025,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,All-aqua Limited T/a All Aqua,Some College/University,Less Than 1 Year,George Town,211,Fitness and recreation instructors and program leaders,40,KYD,Per Month,"KYD$2,000 - KYD$5,000 Monthly","$24,000","$60,000","$24,000","$60,000","$42,000","Creative Arts, Sporting & Cultural Activities","Arts, Entertainment and Recreation"
E8X7T4,Fintess Specialist,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Rico Rolando Orrett-ebanks T/a Stamina Wellness,Master´s Degree,5-6 Years,George Town,211,Fitness and recreation instructors and program leaders,40,KYD,Per Month,"KYD$1,800 - KYD$3,200 Monthly","$21,600","$38,400","$21,600","$38,400","$30,000","Creative Arts, Sporting & Cultural Activities","Arts, Entertainment and Recreation"
F2M7Y5,Assistant Cook,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Dining At Home Ltd,Certificate/Diploma,3-4 Years,George Town,255,Cooks,40,KYD,Bi-Weekly,KYD$9 - KYD$12 Per Hour (paid Bi-Weekly),"$18,720","$24,960","$18,720","$24,960","$21,840","Restaurants, Mobile Food & Beverages Services",Accommodation and Food Service Activities
F4V2U6,Mechanic,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Gas Monkey Garage Cayman Islands Ltd. T/a Gas Monkey Garage,High School or Equivalent,3-4 Years,West Bay,345,Motor vehicle mechanics and repairers,45,KYD,Bi-Weekly,KYD$6 - KYD$8 Per Hour (paid Bi-Weekly),"$14,040","$18,720","$14,040","$18,720","$16,380",Maintenance & Repair of Motor Vehicles & Motorcycles,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
F5H3M6,Construction Manager,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Arch And Godfrey (cayman) Ltd.,Certificate/Diploma,10+ Years,George Town,22,Construction managers,45,KYD,Per Week,"KYD$2,000 - KYD$2,100 Weekly","$104,000","$109,200","$104,000","$109,200","$106,600",Construction & Civil Engineering,Construction
F6C6H4,General Manager,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Iris Consulting Limited,Certificate/Diploma,10+ Years,Seven Mile Beach,24,Information and communications technology service managers,45,KYD,Per Month,"KYD$3,999.45 - KYD$4,999.8 Monthly","$47,993","$59,998","$47,993","$59,998","$53,996",Information Technology,Information and Communication
F6S8D7,Deck Hand,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Clive Hutchinson T/a Blue Ocean Tours,High School or Equivalent,3-4 Years,George Town,438,Ships deck crews and related workers,40,KYD,Per Week,KYD$240 - KYD$300 Weekly,"$12,480","$15,600","$12,480","$15,600","$14,040","Travel Agencies, Tour Operators & Reservation Services",Administrative and Support Service Activities
F8Q7V8,Truck Driver,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Professional Waste Management Limited,High School or Equivalent,5-6 Years,George Town,433,Heavy truck and lorry drivers,47.5,KYD,Per Week,KYD$500 - KYD$600 Weekly,"$26,000","$31,200","$26,000","$31,200","$28,600","Water Supply, Sewerage & Waste Management","Water Supply; Sewerage, Waste Management and Remediation Activities"
F8X7D2,Chef De Partie De Partie De,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,The Ritz Carlton Hotel,Associate Degree,5-6 Years,Seven Mile Beach,255,Cooks,40,USD,Bi-Monthly,USD$13.75 Per Hour (paid Bi-Monthly) + gratuities,"$28,600","$28,600","$23,833","$23,833","$23,833",Accommodation,Accommodation and Food Service Activities
G3U2X3,Labourer,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Ella M. Archbold & Leticia Catanghal T/a El-arch Mobile Maintenance,High School or Equivalent,3-4 Years,George Town,470,Sweepers and related labourers,45,KYD,Bi-Weekly,KYD$6 - KYD$8 Per Hour (paid Bi-Weekly),"$14,040","$18,720","$14,040","$18,720","$16,380",Households as Employers of Domestic Personnel,Activities of Households as Employers; Undifferentiated Goods- And Services-Producing Activities of Households for Own Use
G7A7A6,Mason,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Shaneki Morrison,High School or Equivalent,5-6 Years,George Town,454,Building construction labourers,45,KYD,Per Week,"KYD$21,060 - KYD$35,100 Per Annum (paid Weekly)","$21,060","$35,100","$21,060","$35,100","$28,080",Construction & Civil Engineering,Construction
G7H2K6,Supervisor/assistant Manager Audit And Advisory,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Kpmg,Bachelor´s Degree,1-2 Years,George Town,96,Accountants,40,USD,Per Month,"USD$5,833.33 - USD$7,500 Monthly","$70,000","$90,000","$58,333","$75,000","$66,667",Accounting & Auditing Services,"Professional, Scientfic and Technical Activities"
H3N6K6,Maintenance Person,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Tukka Restaurant T/a Tukka,Below High School,1-2 Years,George Town,262,Building caretakers,45,KYD,Bi-Weekly,KYD$600.3 - KYD$800.1 Bi-Weekly (paid Bi-Weekly) + gratuities,"$15,608","$20,803","$15,608","$20,803","$18,205","Restaurants, Mobile Food & Beverages Services",Accommodation and Food Service Activities
H3Y6S5,Barber,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Rodney's Ltd T/a Rodney's Barber,High School or Equivalent,1-2 Years,George Town,258,Hairdressers,45,KYD,Per Week,KYD$337.5 - KYD$540 Weekly,"$17,550","$28,080","$17,550","$28,080","$22,815","Hairdressing, Beauty Treatment & Other Personal Care",Other Service Activities
H8B5M3,Mason,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Anderson's Design & Construction Ltd,High School or Equivalent,3-4 Years,Bodden Town,320,Stonemasons stone cutters splitters and carvers,45,KYD,Per Week,"KYD$32,760 - KYD$70,200 Per Annum (paid Weekly)","$32,760","$70,200","$32,760","$70,200","$51,480",Construction & Civil Engineering,Construction
J4M5K5,Grocery Clerk (non-cashier),Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Kirk Market,High School or Equivalent,Less Than 1 Year,George Town,242,Stock clerks,40,KYD,Per Week,KYD$9 - KYD$14 Per Hour (paid Weekly),"$18,720","$29,120","$18,720","$29,120","$23,920",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
K3B6K6,Painter Assistant,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Metro Builders Ltd. T/a Metro Builders Ltd.,High School or Equivalent,5-6 Years,George Town,454,Building construction labourers,40,KYD,Per Week,KYD$320 - KYD$480 Weekly,"$16,640","$24,960","$16,640","$24,960","$20,800",Construction & Civil Engineering,Construction
K3R7D6,Sales Representative,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,"Mata Inc., Ltd., T/a Purple Bee",Associate Degree,10+ Years,George Town,283,Sales workers not elsewhere classified,45,USD,Per Week,"USD$46,004.4 - USD$50,005.8 Per Annum (paid Weekly)","$46,004","$50,006","$38,337","$41,672","$40,004",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
K5N8J5,Handyman,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Colin Williams T/a Css Employment Agency,High School or Equivalent,1-2 Years,George Town,460,Freight handlers,45,KYD,Bi-Weekly,KYD$810 - KYD$990 Bi-Weekly (paid Bi-Weekly),"$21,060","$25,740","$21,060","$25,740","$23,400",Recruitment & Employment Agencies,Administrative and Support Service Activities
K7Y6C4,Domestic Helper,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Daniel Baumslag,Associate Degree,3-4 Years,George Town,440,Domestic cleaners and helpers,35,KYD,Per Week,KYD$6.5 Per Hour (paid Weekly),"$11,830","$11,830","$11,830","$11,830","$11,830",Households as Employers of Domestic Personnel,Activities of Households as Employers; Undifferentiated Goods- And Services-Producing Activities of Households for Own Use
M2E2C3,Beauty Therapist,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Four Seasons Salon & Spa,High School or Equivalent,5-6 Years,George Town,259,Beauticians and related workers,45,KYD,Bi-Monthly,KYD$6 - KYD$8 Per Hour (paid Bi-Monthly),"$14,040","$18,720","$14,040","$18,720","$16,380","Hairdressing, Beauty Treatment & Other Personal Care",Other Service Activities
M3U5R8,Line Server Server Server,Closed,03-Jan-25,06-Jan-25,20-Feb-25,Full-time,Flowers Restaurateurs (1998) Ltd T/a The Brasserie,High School or Equivalent,1-2 years,George Town,282,Food service counter attendants,45,KYD,Bi-Monthly,KYD$8 - KYD$10 Per Hour (paid Bi-Monthly),"$18,720","$23,400","$18,720","$23,400","$21,060","Restaurants, Mobile Food & Beverages Services",Accommodation and Food Service Activities
M3X8G3,Auto Mechanic,Closed,03-Jan-25,03-Jan-25,17-Jan-25,Full-time,Valeska Chistina Borden Castillo T/a Auto Experts,Certificate/Diploma,3-4 Years,Bodden Town,345,Motor vehicle mechanics and repairers,39,KYD,Per Month,"KYD$1,690 - KYD$2,366 Monthly","$20,280","$28,392","$20,280","$28,392","$24,336",Maintenance & Repair of Motor Vehicles & Motorcycles,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
