cJobId,cTitle,sWork,sEducation,sExperience,sLocation,sOccupation,sIndustry,fMinSalary,fMaxSalary,fMeanSalary
E2P3G8,Supervisor Of Equipment Drivers And Dispatch,1,1,5,3,149,19,38001.60,42494.40,40248.00
E2U2C5,Janitor,1,1,3,0,445,5,15210.00,16380.00,15795.00
E3G6B8,Assistant Manager – Personal Lines,1,5,4,3,30,8,72000.00,96000.00,84000.00
E3P3S8,Licensed Electrician,1,3,6,3,364,5,42120.00,51480.00,46800.00
E3Y3W5,Yacht Maintenance,1,3,4,11,438,11,39000.00,57200.00,48100.00
E4G4A7,Insolvency Manager,1,5,4,3,96,8,75000.00,91666.67,83333.33
E4T8K4,Food & Beverage Senior Supervisor,1,3,2,11,33,0,15600.00,23400.00,19500.00
E6W3Q4,Mason/stone-man,1,3,4,3,320,2,35100.00,42120.00,38610.00
E7J4Q3,Mobile Swim Teacher 2025,1,2,1,3,211,4,24000.00,60000.00,42000.00
E8X7T4,Fintess Specialist,1,6,4,3,211,4,21600.00,38400.00,30000.00
F2M7Y5,Assistant Cook,1,3,3,3,255,0,18720.00,24960.00,21840.00
F4V2U6,Mechanic,1,1,3,11,345,19,14040.00,18720.00,16380.00
F5H3M6,Construction Manager,1,3,7,3,22,5,104000.00,109200.00,106600.00
F6C6H4,General Manager,1,3,7,8,24,10,47993.40,59997.60,53995.50
F6S8D7,Deck Hand,1,1,3,3,438,2,12480.00,15600.00,14040.00
F8Q7V8,Truck Driver,1,1,4,3,433,18,26000.00,31200.00,28600.00
F8X7D2,Chef De Partie De Partie De,1,4,4,8,255,0,23833.33,23833.33,23833.33
G3U2X3,Labourer,1,1,3,3,470,1,14040.00,18720.00,16380.00
G7A7A6,Mason,1,1,4,3,454,5,21060.00,35100.00,28080.00
G7H2K6,Supervisor/assistant Manager Audit And Advisory,1,5,2,3,96,14,58333.30,75000.00,66666.65
H3N6K6,Maintenance Person,1,0,2,3,262,0,15607.80,20802.60,18205.20
H3Y6S5,Barber,1,1,2,3,258,13,17550.00,28080.00,22815.00
H8B5M3,Mason,1,1,3,0,320,5,32760.00,70200.00,51480.00
J4M5K5,Grocery Clerk (non-cashier),1,1,1,3,242,19,18720.00,29120.00,23920.00
K3B6K6,Painter Assistant,1,1,4,3,454,5,16640.00,24960.00,20800.00
K3R7D6,Sales Representative,1,4,7,3,283,19,38337.00,41671.50,40004.25
K5N8J5,Handyman,1,1,2,3,460,2,21060.00,25740.00,23400.00
K7Y6C4,Domestic Helper,1,4,3,3,440,1,11830.00,11830.00,11830.00
M2E2C3,Beauty Therapist,1,1,4,3,259,13,14040.00,18720.00,16380.00
M3U5R8,Line Server Server Server,1,1,2,3,282,0,18720.00,23400.00,21060.00
M3X8G3,Auto Mechanic,1,3,3,0,345,19,20280.00,28392.00,24336.00
M4M7U4,"Senior Manager, Corporate And Governance Services",1,2,4,3,13,14,100000.00,120833.33,110416.67
M5K6N4,Warehouse Person,1,1,3,3,460,2,23400.00,31590.00,27495.00
N2M4E4,Mason Helper For Summit Builders Limited,1,1,4,3,454,2,24960.00,31200.00,28080.00
N2M8W8,Senior Accountant,1,5,4,3,96,2,58333.33,70833.33,64583.33
N4E8S3,Engineer,1,5,4,3,47,18,80690.00,100860.00,90775.00
N6A7W6,Steelman,1,1,4,3,454,2,23400.00,28080.00,25740.00
N8S6E6,Boat Deck Hand/ Yacth Maintenance Deck Hand/ Yacth,1,3,4,11,438,11,37440.00,46800.00,42120.00
P2P5W7,Hair Stylist,1,3,4,3,258,13,14040.00,21060.00,17550.00
P3P7J6,Demi Chef De Partie,1,3,2,12,215,2,17550.00,22230.00,19890.00
P3Y3J3,Accounts Payable Clerk,1,4,3,2,239,0,33345.00,37498.50,35421.75
P4Y6F4,Director Of Catering & Conference Services,1,4,3,11,32,0,62500.00,69166.67,65833.33
P5F8X4,Bartender,1,1,2,8,257,0,11700.00,15600.00,13650.00
P5Q8W8,Mason,1,1,4,3,192,5,20800.00,29120.00,24960.00
P6E2K2,Shelf Stoker/cashier/sales Assistant,1,1,3,4,34,19,14040.00,18720.00,16380.00
P7E7T3,Store Supervisor,1,4,3,3,33,0,26000.00,36400.00,31200.00
P7Q7A4,Handyman,1,1,3,3,473,5,15210.00,16380.00,15795.00
P8X3X7,Assistant Auto Mechanic,1,1,2,3,345,19,12480.00,16640.00,14560.00
Q2N8K2,Upholsterer/drapery Maker/furniture Installer,1,3,4,3,383,2,23400.00,39780.00,31590.00
Q3G3G3,Carpenter/mason,1,1,7,3,322,2,32760.00,32760.00,32760.00
Q3K5M7,Housekeeping Attendant,1,3,2,3,262,2,14976.00,15600.00,15288.00
Q3W5Y6,Sales Associate,1,1,2,3,280,19,10920.00,16380.00,13650.00
Q5A8X2,Sales Merchandiser/ Deliveryman,1,1,2,3,461,19,16640.00,20800.00,18720.00
Q7S7X8,Drywall Installer Installer Installer,1,1,2,3,322,5,23400.00,23400.00,23400.00
Q8K5J5,Director Of Sales,1,5,2,8,480,0,23400.00,70000.06,46700.03
R2Y2C7,Farmer,1,1,4,2,447,3,16380.00,23400.00,19890.00
R3E8R2,Food And Beverage Server,1,1,3,3,282,0,16380.00,16380.00,16380.00
R6K5C5,Truck Driver/sideloader/forklift Operator,1,1,4,3,433,17,27456.00,32032.00,29744.00
R6Y4V2,"Senior Director, Operations & Risk",1,5,5,1,13,9,150000.00,208000.00,179000.00
R7D6Q6,Prep Cook,1,1,2,3,255,19,25272.00,34795.80,30033.90
S2R5Y8,Tiler,1,1,6,3,325,5,37440.00,37440.00,37440.00
S2T4U8,Cleaner,1,1,1,3,441,2,12480.00,16640.00,14560.00
S6X5Y2,Housekeeping Attendant,1,1,4,3,261,14,14040.00,16380.00,15210.00
S7J2H4,Head Of Regulatory And Legal Support Services,1,5,4,3,12,14,125000.00,145833.33,135416.67
S7K6D2,Experienced Pool Technician,1,1,5,3,445,2,39780.00,51480.00,45630.00
S8M7R2,Painter,1,1,4,8,331,5,18720.00,42120.00,30420.00
T2V4U5,Pizza Maker/driver/customer Service Representative,1,1,1,3,462,0,14040.00,23400.00,18720.00
T6K3G4,Assistant Cook,1,3,3,2,255,0,19515.60,20802.60,20159.10
T8U4A3,Carpenter/mason,1,1,4,3,322,5,23400.00,35100.00,29250.00
U4F8G3,Auto Mechanic,1,1,2,3,345,19,23400.00,28080.00,25740.00
U4W2V2,Tiler Helper,1,1,4,3,325,5,28080.00,28080.00,28080.00
U5E2A8,Merchandiser,1,1,0,3,242,19,23985.00,33017.40,28501.20
U6C5V5,Buyer/purchaser Merchandise,1,1,3,3,188,5,51480.00,70200.00,60840.00
U6H7U3,Cleaner,1,1,4,3,441,2,14040.00,18720.00,16380.00
U6Q8M3,Parts Associate & Technical Support,1,3,3,3,106,19,23400.00,28080.00,25740.00
U6Y5W7,Real Estate Sales Associate,1,5,7,3,193,16,18000.00,24000.00,21000.00
U8K5N7,Merchandising Supervisor,1,1,2,3,273,19,27729.00,38165.40,32947.20
U8R8J8,Client Relationship Officer,1,5,4,3,97,8,66666.67,100000.00,83333.33
V3G6V2,Carpenter Helper / Mason Helper/labourer,1,1,4,3,454,5,24960.00,24960.00,24960.00
V5R8E7,Digital Marketing Coordinator,1,5,4,3,104,10,36000.00,43200.00,39600.00
V6E4S8,"Senior Manager, Audit",1,5,4,3,96,14,95833.30,108333.30,102083.30
V6E6R4,Heavy Duty Mechanic,1,1,2,3,345,19,46800.00,58500.00,52650.00
V6G5D2,General Helper,1,1,1,3,473,19,16380.00,21317.40,18848.70
V7C2A6,Babysitter,1,1,2,3,261,2,12480.00,16640.00,14560.00
V8T4T4,Sales Associate,1,1,2,3,283,19,23400.00,28080.00,25740.00
W2P3Y7,Assistant Upholsterer,1,3,3,3,383,2,23400.00,32760.00,28080.00
W4F4H7,Dispensing Optician,1,5,2,8,175,9,42120.00,51480.00,46800.00
W4J5M6,Grocery Clerk (cashiers),1,1,1,3,275,19,18720.00,27040.00,22880.00
W4P5N8,Power Gen Technician,1,3,3,11,368,11,63180.00,86580.00,74880.00
W4T2N2,Janitor/janitress,1,1,1,3,440,2,12480.00,14560.00,13520.00
W5E4V3,"Manager, Audit",1,5,3,3,96,14,75000.00,95833.30,85416.65
W5G2J4,Business Strategy Operations Manager,1,5,4,3,13,5,123000.00,126000.00,124500.00
W7X5X3,Hvac Technician,1,3,4,3,330,0,18720.00,23400.00,21060.00
X2R2H3,Sales Representative/cook,1,5,4,1,255,14,35989.20,47993.40,41991.30
X4G4K5,Multipurpose Associate,1,3,3,3,36,2,23400.00,31590.00,27495.00
X5H4F2,Sales And Roastery Supervisor,1,1,3,3,148,19,42000.00,60000.00,51000.00
X5Q6U7,Bakery Associate,1,1,2,3,372,19,23985.00,33017.40,28501.20
X7C2X8,Multipurpose Associate,1,1,1,3,242,19,24570.00,33836.40,29203.20
X7F6M2,Lauborer,1,1,4,0,454,5,21060.00,21060.00,21060.00
Y2B7D6,Receptionist And Billing Administrator,1,1,4,3,236,9,23400.00,28080.00,25740.00
Y4T4X6,Site Supervisor,1,3,4,3,149,2,46800.00,93600.00,70200.00
Y5K4R2,Carpenter / Mason,1,1,3,3,320,5,24960.00,29120.00,27040.00
Y5R8C3,Sales Associate,1,4,4,3,107,10,48000.00,60000.00,54000.00
Y6D3B7,Group Rooms Coordinator,1,5,2,3,234,0,25350.00,29250.00,27300.00
Y7Q4T5,Meat & Seafood Associate,1,1,0,3,371,19,23985.00,33017.40,28501.20
Y8B3U7,Busser,1,1,3,3,256,0,14040.00,18720.00,16380.00
C2H4F4,Assistant Food And Beverage Manager,1,3,4,3,33,2,39000.00,55900.00,47450.00
F2A8S8,Beautician & Massage Therapist,1,1,3,3,259,13,14393.60,14393.60,14393.60
F2D7Y6,Team Leader,1,1,3,3,256,2,14040.00,28080.00,21060.00
F4V4W7,Line Cook,1,1,3,3,255,2,18720.00,28080.00,23400.00
F7P3G8,Babysitter/domestic Helper,1,1,2,3,440,9,12480.00,14560.00,13520.00
H4F3C3,Bartender,1,1,4,3,257,4,11440.00,12480.00,11960.00
J2Q7F2,Beautician & Massage Therapist,1,1,2,3,259,13,14400.00,14400.00,14400.00
J3T6Y7,Food And Beverage Server,1,1,4,3,256,4,11440.00,12480.00,11960.00
M3E4B4,Sous Chef,1,3,4,3,215,2,27300.00,45500.00,36400.00
P4Y8Q4,Food & Beverage Server,1,1,2,3,256,2,10530.00,18720.00,14625.00
Q2A2A8,Food & Beverage Supervisor,1,1,3,3,269,2,37700.00,49400.00,43550.00
S3Y6K5,Caregiver/domestic Helper,1,3,2,3,261,9,12480.00,14560.00,13520.00
S8A7Q4,Cashier,1,1,3,3,275,4,14040.00,14040.00,14040.00
S8N6P5,Kitchen Helper/dishwasher,1,0,2,3,256,2,11700.00,16380.00,14040.00
E5U5F3,Logistic & Admin Coordinator,1,5,3,3,13,19,22800.00,27456.00,25128.00
F3H3S6,Food And Beverage Server And Beverage Server,1,1,2,3,256,0,10530.00,14040.00,12285.00
K2Q8U8,Warehouse Assistant,1,1,2,3,251,19,18720.00,21060.00,19890.00
K7E8M3,Beauty Advisor / Sales,1,1,2,3,259,19,13728.00,18304.00,16016.00
P4F6X4,Bartender,1,1,3,3,257,0,11700.00,16380.00,14040.00
V5U6T6,Assistant Project Manager,1,3,4,3,22,5,30000.00,36000.00,33000.00
X6X5B8,Pastry Chef / Line Cook Chef / Line,1,1,3,3,255,0,15561.00,18720.00,17140.50
A2M7Q3,Merchandising Supervisor,1,1,2,3,273,19,27729.00,38165.40,32947.20
A7E5T6,Delivery Driver,1,1,3,3,458,2,16380.00,21060.00,18720.00
A7J4M2,Smoothie Maker,1,1,2,3,449,3,14040.00,23400.00,18720.00
A7V7M6,Tsjb Bartender/server,1,1,3,12,257,0,10530.00,15210.00,12870.00
A8S4K8,Commercial Sales Representative,1,5,3,3,187,19,30000.00,36000.00,33000.00
B3N7B2,Truck Driver,1,1,7,0,433,2,18205.20,18205.20,18205.20
B5V2R6,Sales Clerk,1,1,3,3,278,19,12480.00,14560.00,13520.00
B5X2G8,Carpenter,1,1,4,3,322,5,30420.00,30420.00,30420.00
B6F5K8,Merchandiser,1,1,0,3,242,19,23985.00,33017.40,28501.20
C5D2V5,Senior Account Manager,1,5,3,1,96,8,83340.83,95838.17,89589.50
C8E4G6,Appliance Technician,1,3,7,3,365,5,32760.00,46800.00,39780.00
C8T6A2,Executive Manager - Commercial,1,5,7,1,22,14,175000.00,200000.00,187500.00
D2F5B6,Bartender,1,1,4,3,257,8,14040.00,23400.00,18720.00
D4B7N6,Handyman,1,3,3,11,268,2,19200.00,24000.00,21600.00
D6X4X4,Executive Chef (restaurant),1,6,4,8,215,0,45833.33,54166.67,50000.00
D8N6U4,Maitre D',1,1,4,3,33,8,52000.00,117000.00,84500.00
E2D6R2,Senior Security Operations Analyst,1,5,4,3,108,8,70833.33,82500.00,76666.67
E3N2B3,Regional Chief Risk Officer & Director Of Cayman Compliance,1,5,7,1,12,5,300011.40,319995.00,310003.20
E4X6Y7,Head Of English & Drama Of English &,1,5,4,3,83,6,60000.00,75000.00,67500.00
E6N2H3,Labourer,1,1,2,3,454,5,18720.00,25740.00,22230.00
E6R8T5,Photographer/videographer/edito,1,1,3,3,212,14,62400.00,62400.00,62400.00
E7P4E7,Kitchen Helper,1,3,3,12,463,0,14040.00,14040.00,14040.00
E7R7A3,Digital Content And Social Media Coordinator,1,5,4,1,104,4,40000.00,55000.00,47500.00
E7S4M8,Sous Chef,1,1,4,3,255,0,26000.00,52000.00,39000.00
F2D8H6,Dive Instructor/boat Handler&crew/dock Maintenance/dive Shop Retail,1,1,2,13,386,19,16965.00,23985.00,20475.00
F2K6S2,Warehouse Person,1,1,1,3,272,2,14040.00,16380.00,15210.00
F5B5K4,Mason/carpenter,1,1,4,3,322,5,20800.00,24960.00,22880.00
F5E4T2,Domestic Helper/cleaner,1,3,2,11,440,2,20400.00,24000.00,22200.00
G2F2B7,Lifestyle Supervisor,1,1,3,3,211,0,23400.00,28080.00,25740.00
G2X4D4,Team Leader &/or Front House Supervisor (food & Beverage),1,1,4,3,33,8,41600.00,93600.00,67600.00
G3J6J8,Mason / Carpenter / Steelworker / Carpenter /,1,1,4,3,322,5,35100.00,35100.00,35100.00
G3Q5J7,Janitor,1,1,2,3,333,2,12480.00,16640.00,14560.00
G6W8F2,Plumber Helper,1,1,3,11,329,1,18205.20,31192.20,24698.70
G6X2U8,General Helper,1,1,4,3,454,1,14040.00,18720.00,16380.00
G8M7J2,Assistant Cook &/or Prep Cook,1,1,3,3,255,8,23400.00,37440.00,30420.00
H2G3E3,Line Cook,1,1,4,3,255,8,23400.00,42120.00,32760.00
H2V6K4,Tiler,1,1,3,3,325,5,39007.80,45489.60,42248.70
H4Y8B6,Painter/steelman/mason,1,1,4,3,454,5,23400.00,46800.00,35100.00
H7J6P4,Air Conditioning Technician,1,1,4,3,330,5,23400.00,28080.00,25740.00
H7M5U8,Groundsman,1,1,1,3,242,19,23985.00,33017.40,28501.20
H8N4Q4,Interior Designer,1,5,3,1,213,4,45000.00,60000.00,52500.00
H8Y6H4,Food And Beverage Server,1,1,3,3,256,8,14040.00,18720.00,16380.00
J2P4V7,Bartender,1,1,3,3,257,0,11700.00,22230.00,16965.00
J2V5X4,Regional Chief Risk Officer & Director Of Cayman Compliance,1,5,7,3,12,2,250000.00,266666.67,258333.33
J3C3R8,Handy Man,2,1,2,3,454,5,30420.00,42120.00,36270.00
J4J7T5,Humanities Teacher Teacher Teacher,1,5,2,3,83,6,55000.00,72000.00,63500.00
J6F8E7,Beauty Therapist,1,1,2,12,259,0,10750.00,10750.00,10750.00
J8Q3G7,Body Repair Man,1,1,4,3,345,2,23400.00,28080.00,25740.00
K2H6Y8,Maintenance Person,1,1,3,3,142,0,18720.00,23400.00,21060.00
K2M3H5,Spanish Teacher,1,5,2,3,83,6,50000.00,70000.00,60000.00
K3A3K2,It Technician,1,3,3,3,217,0,18720.00,28080.00,23400.00
K3M2N5,Beauty Therapist,1,3,3,3,259,13,15210.00,17550.00,16380.00
K4W8H6,"Head Of Science And Head Of Data, Tracking And Assessment",1,5,7,3,83,6,65000.00,85000.00,75000.00
K6K3J5,Janitor,1,1,4,3,441,2,14040.00,18720.00,16380.00
K7G2X8,Head Of Mathematics,1,5,7,3,83,6,65000.00,77000.00,71000.00
M2D7J2,Trade Helper,1,1,2,3,325,5,26000.00,32500.00,29250.00
M2W2W3,Mason/ Carpenter,1,1,3,3,320,5,28080.00,30420.00,29250.00
M5F7M7,Tsjb Goundsman,1,1,2,12,440,0,10530.00,14040.00,12285.00
M8C6M2,Engineering Coordinator,1,4,3,3,100,0,25740.00,35100.00,30420.00
M8P2V3,Dive Instructor / Boat Crew,1,1,2,3,386,2,20800.00,24960.00,22880.00
N4N4V3,Executive Meeting Specialist,1,3,3,3,198,0,54000.00,72000.00,63000.00
N5V2P8,Electrician,1,3,4,3,364,5,32760.00,46800.00,39780.00
N6C5W5,Kitchen Helpers,1,1,4,3,463,0,14040.00,19890.00,16965.00
N7D7E7,Head Of Latin And Languages,1,5,7,3,83,6,65005.20,77009.40,71007.30
P4W5V8,Team Leader,1,1,4,3,33,0,41600.00,57200.00,49400.00
P7W3A4,Janitor/domestic Helper,1,1,3,3,445,2,32760.00,37440.00,35100.00
Q2C3C5,Carpenter,1,1,4,3,322,5,30420.00,30420.00,30420.00
Q3H4V4,Maths Teacher,1,5,7,3,83,6,60000.00,72000.00,66000.00
Q6Y8S5,Prep Cook,1,1,2,3,255,19,25272.00,34795.80,30033.90
R3E4C4,Project Manager - Interior Design,1,5,4,1,216,4,45000.00,55000.00,50000.00
R3Q4D6,Exterior Wall System Mechanic,1,1,7,3,321,5,42120.00,42120.00,42120.00
R7G2W8,Gardener,1,1,4,3,298,2,16640.00,20800.00,18720.00
S4U6Y8,Nail Technician,1,0,3,3,259,13,15607.80,18205.20,16906.50
S6P8G6,Nail Technician,1,1,3,11,259,5,18200.00,20800.00,19500.00
S8G7X7,Client Relationship Officer,1,5,3,3,238,8,41666.67,50000.00,45833.33
S8S4B3,Carpenter Helper,1,1,3,3,454,2,18720.00,18720.00,18720.00
T2E8S8,Mason,1,1,4,3,320,2,28080.00,28080.00,28080.00
T4H5S4,Barista,1,1,3,3,256,0,14040.00,16380.00,15210.00
T6M8N5,Carpenter,1,1,4,3,322,13,25740.00,35100.00,30420.00
U5A5U6,Sales Person/cleaner,1,1,2,3,278,3,14040.00,18720.00,16380.00
U5H6Q2,Food And Beverage Server,1,1,4,3,256,0,10530.00,18720.00,14625.00
U5H7D3,Bakery Associate,1,1,2,3,372,19,23985.00,33017.40,28501.20
U5R6Y8,Food And Beverage Server,1,1,3,3,256,0,10530.00,18720.00,14625.00
U7S5G6,Massage And Beauty Therapist,1,3,4,3,211,0,11700.00,15600.00,13650.00
U8J3X5,Steel Fixer,1,1,5,3,334,5,28080.00,28080.00,28080.00
V4P7D5,Assistant Food And Beverage Server &/or Support Staff - Front,1,1,3,3,256,8,16380.00,23400.00,19890.00
V8W8Q8,Junior Sous Chef,1,1,3,8,255,0,37500.00,43333.33,40416.67
W2P4C5,Air Conditioning & Refrigeration Technician,1,3,4,3,330,5,32760.00,42120.00,37440.00
W2X3S2,English Teacher,1,5,3,3,83,6,55000.00,72000.00,63500.00
W4U4K4,Assistant Pastor,1,1,3,3,128,5,13520.00,16640.00,15080.00
W5Q7X6,Meat & Seafood Associate,1,1,0,3,371,19,23985.00,33017.40,28501.20
W5S7X7,Underwater Photo Pro/dive Instructor/boat Handler&crew/dock Maintenance/dive Shop Retail,1,1,2,13,386,19,65000.00,78000.00,71500.00
X3W3W8,Senior Interior Designer,1,5,4,1,213,4,70000.00,85000.00,77500.00
X5H7A3,Line Cook,1,1,4,3,255,0,18200.00,26000.00,22100.00
X6E5N6,Legal Secretary,1,3,4,3,197,14,55000.00,70000.00,62500.00
Y2S4H5,Caregiver,1,3,4,0,288,2,35100.00,35100.00,35100.00
Y4B5A8,Handyman,1,1,3,3,473,5,15210.00,16380.00,15795.00
Y5B3A2,Carpenter,1,1,4,3,322,5,28080.00,35100.00,31590.00
Y7W7B8,Construction Labourer,1,1,3,3,454,5,20802.60,23400.00,22101.30
Y7Y8K5,Kitchen Helper &/or Support Staff,1,1,3,3,463,8,14040.00,30420.00,22230.00
A5N7V8,Carpenter,1,1,7,3,322,5,14040.00,15210.00,14625.00
H3P6J6,Steel Fixer,1,1,7,3,337,5,14040.00,15210.00,14625.00
H3T6K8,Janitor,1,1,3,3,260,2,13000.00,15600.00,14300.00
J5F5A7,Mason,1,1,7,3,320,5,14040.00,15210.00,14625.00
K7J3B4,Musician/drummer,0,1,4,3,133,4,18000.00,24000.00,21000.00
P5U3D6,Steel Fixer Fixer Fixer,1,1,7,3,337,5,14040.00,15210.00,14625.00
R2P3N5,Car Wash Assistant,1,1,2,3,443,19,28080.00,28080.00,28080.00
U7B4M5,Carpenter,1,1,7,3,322,5,14040.00,15210.00,14625.00
A6A7J6,Baker,1,1,4,3,372,8,18200.00,23400.00,20800.00
B4W2X4,Senior Sales Representative,3,2,3,3,283,19,16380.00,17550.00,16965.00
C2K3U3,Gardner,1,1,4,7,298,2,18720.00,18720.00,18720.00
C8M3H3,Hanyman/cleaner (aquatic Pools Ltd),1,1,5,3,333,5,20800.00,31200.00,26000.00
D2W8N2,Carpenter,1,1,4,3,322,5,30420.00,30420.00,30420.00
E5Y7B8,Sales Representative / Customer Service,1,2,3,3,274,19,15210.00,17550.00,16380.00
E7U5R3,Technical Customer Service / Sales Assistant,1,2,3,8,107,13,14040.00,16380.00,15210.00
F7N3A3,Administrative Office Clerk,1,2,3,3,223,13,18720.00,21060.00,19890.00
F8T6F7,Pharmacy Technician,1,3,3,3,166,19,24000.00,30000.00,27000.00
J3E4Q3,Cell Phone Technician,1,2,3,3,141,13,18720.00,21060.00,19890.00
N4S6G7,Repair Administrator,1,2,3,3,223,13,18720.00,21060.00,19890.00
U6K8Y7,Baker Team Leader,1,1,3,3,372,8,23400.00,28600.00,26000.00
U7E8M6,Property Custodian/cleaner,1,1,3,3,441,2,15600.00,20800.00,18200.00
U7G4F4,Sales Representative / Customer Service,3,3,3,3,274,19,14040.00,14040.00,14040.00
W3T8S4,Customer Service / Sales Assistant,1,2,3,3,274,19,15210.00,17550.00,16380.00
Y2J7C6,Computer Technician Assistant,1,2,3,3,218,13,17550.00,20475.00,19012.50
Y3T8F4,Food & Beverage Server,1,1,3,3,282,19,14040.00,15210.00,14625.00
Y6F2R3,Assistant Cook,1,1,3,3,255,0,18200.00,20800.00,19500.00
A4J3N4,Director Of Engineering,1,5,4,3,46,2,116666.67,133333.33,125000.00
A5B3Q5,Barber,1,1,2,3,258,13,17550.00,28080.00,22815.00
A5M7J4,Line Cook,1,1,4,3,255,0,18200.00,26000.00,22100.00
B2H2H6,Painter/bodyman,1,1,4,3,331,17,18720.00,28080.00,23400.00
B2N4E3,Patient Coordinator - Obstetrics & Gynecology Department,1,5,3,2,72,9,45006.00,55009.50,50007.75
B2N8S3,Kitchen Helper,1,1,1,3,463,2,14040.00,16380.00,15210.00
B2T3H7,Beach Attendant/ Boat Deckhand,1,1,3,3,445,17,16640.00,18720.00,17680.00
B3X4W2,Pre-school Teacher,1,5,2,3,84,13,33600.00,42000.00,37800.00
B6A2U8,Kitchen Assistant/helper,1,1,2,7,463,0,12480.00,15600.00,14040.00
B7V5R2,Warehouse Assistant,1,1,4,3,456,19,23400.00,28080.00,25740.00
B8B3F4,Food & Beverage Server,1,1,2,3,256,0,11700.00,16380.00,14040.00
B8K5J4,Hs Teacher Of Mathematics (jobref#b145-24-25),1,5,3,3,83,6,49700.00,69700.00,59700.00
B8P7S6,Area Director (hr),1,5,5,3,11,2,104166.67,133333.33,118750.00
C2G6U5,Caregiver,1,1,1,3,288,2,14040.00,16380.00,15210.00
C3B5X4,Lash Technican,1,1,3,3,259,13,14040.00,21060.00,17550.00
C4B2R3,Naturalist,1,5,2,8,42,0,17333.33,21666.67,19500.00
C4P2S6,Senior Marketing Executive,1,5,4,3,104,8,95826.25,100002.50,97914.38
C5J4T4,Sous Chef,1,3,3,3,215,0,17550.00,31824.00,24687.00
