priority_rank,name,score,segment,industry,total_jobs,active_jobs,avg_salary,recommended_tier,suggested_hook,is_warm_intro,is_government
26,Carey Olsen Cayman Ltd,68,Offshore Law Firms,Professional,23,15,225000,Enterprise,23 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
27,The Wellness Centre Ltd,68,Healthcare & Medical,Human Health and Social Work Activities,21,9,36000,Enterprise,"Medical recruitment shouldn't cost CI$151,200+. careers.ky: streamlined hiring, same quality talent.",,
28,Cayman Dental Services,68,Healthcare & Medical,Human Health and Social Work Activities,11,6,144000,Pro,"Medical recruitment shouldn't cost CI$316,800+. careers.ky: streamlined hiring, same quality talent.",,
29,Integra Healthcare Ltd,68,Healthcare & Medical,Human Health and Social Work Activities,11,7,276000,Pro,"Medical recruitment shouldn't cost CI$607,200+. careers.ky: streamlined hiring, same quality talent.",,
30,Tranel Group Ltd,67,Construction & Contractors,Construction,46,15,65000,Enterprise,"46 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
31,Iss (cayman) Ltd.,66,Education & Training,Education,41,18,0,Enterprise,41 teaching + admin roles. careers.ky connects you with qualified local talent faster.,,
32,Our House Cayman Ltd.,66,Other Services,Financial and Insurance Activities,18,9,0,Pro,"18 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
33,Artex Risk Solutions (cayman) Limited,66,"Insurance (Brokers, Captive, Underwriters)",Financial and Insurance Activities,15,8,0,Pro,"15 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
34,Rbc Royal Bank (cayman) Limited,66,Banking & Retail Finance,Financial and Insurance Activities,14,6,0,Pro,"14 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
35,Cayman National Corporation,66,Other Services,Financial and Insurance Activities,14,6,0,Pro,"14 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
36,Cayman First Insurance Company Limited,66,"Insurance (Brokers, Captive, Underwriters)",Financial and Insurance Activities,13,3,0,Pro,"13 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
37,Vistra (cayman) Limited,66,Fund Administration & Corporate Services,Financial and Insurance Activities,11,8,0,Pro,"11 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
38,Mufg Alternative Fund Services (cayman) Limited,66,Fund Administration & Corporate Services,Financial and Insurance Activities,10,9,0,Pro,"10 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
39,Davenport Development Property Management & Services Ltd. (holding Company),66,Real Estate & Property Management,Financial and Insurance Activities,10,1,0,Pro,"10 positions at 0K avg. careers.ky: direct to talent, zero recruiter fees.",,
40,Roper Enterprises Ltd,65,Other Services,Administrative and Support Service Activities,50,22,23400,Enterprise,You posted 50 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
41,Progressive Distributors Ltd.,65,Other Services,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,43,21,45135,Enterprise,43 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
42,Blue Cilantro Limited,65,Other Services,Accommodation and Food Service Activities,37,11,20768,Enterprise,"You posted 37 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
43,Jefferson Pizza Services Ltd,65,Restaurants & F&B,Accommodation and Food Service Activities,34,12,31243,Enterprise,"You posted 34 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
44,The Security Centre Ltd,65,Security Services,Administrative and Support Service Activities,27,10,110000,Enterprise,"27 hires. careers.ky direct: eliminate recruiter fees (~CI$81,000 saved annually).",,
45,Palm Sunset Ltd,65,Other Services,Accommodation and Food Service Activities,20,11,25009,Enterprise,"You posted 20 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
46,Agl Group Ltd T/a Docuplus Agency,63,Utilities & Telecoms,Professional,102,43,0,Enterprise,You posted 102 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
47,KEMPA HOME INTERNATIONAL LTD T/A KEMPA HOME,63,Other Services,Arts,69,64,0,Enterprise,You posted 69 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
48,Ey Cayman Ltd.t/a Ey,63,Accounting & Audit (Big 4 + local),Professional,55,47,0,Enterprise,You posted 55 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
49,Expertise Limited,63,Other Services,Professional,54,26,0,Enterprise,You posted 54 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
50,Cayman Brac Beach Resort,63,Hotels & Resorts,Accommodation and Food Service Activities,47,24,0,Enterprise,"You posted 47 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
51,Gyro Hut Ltd T/a Al La Kebab,63,Other Services,Accommodation and Food Service Activities,39,23,0,Enterprise,"You posted 39 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
52,Mise En Place Ltd. T/a Mise En Place,63,Other Services,Accommodation and Food Service Activities,35,15,0,Enterprise,"You posted 35 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
53,Flowers Restaurateurs (1998) Ltd T/a The Brasserie,63,Other Services,Accommodation and Food Service Activities,27,17,0,Enterprise,"You posted 27 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
54,Thompson Resorts,63,Other Services,Accommodation and Food Service Activities,27,15,0,Enterprise,"You posted 27 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
55,Caybec Resto 1 Ltd.,63,Other Services,Accommodation and Food Service Activities,25,13,0,Enterprise,"You posted 25 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
56,Island Naturals Ltd (coffee Shop/restaurant),63,Restaurants & F&B,Accommodation and Food Service Activities,24,8,0,Enterprise,"You posted 24 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
57,Peppers Smokehouse Ltd.,63,Restaurants & F&B,Accommodation and Food Service Activities,23,10,0,Enterprise,"You posted 23 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
58,Little Cayman Beach Resort,63,Hotels & Resorts,Accommodation and Food Service Activities,22,11,15350,Enterprise,"You posted 22 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
59,Morritts Properties Cayman Limited T/a Morritts Tortuga,63,Other Services,Accommodation and Food Service Activities,22,15,0,Enterprise,"You posted 22 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
60,Icoa Ltd,63,Other Services,Accommodation and Food Service Activities,22,11,0,Enterprise,"You posted 22 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
61,The Agency Group Ltd,62,Other Services,Administrative and Support Service Activities,55,17,21667,Enterprise,You posted 55 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
62,Cayman Distributors Limited,62,Other Services,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,28,10,28080,Enterprise,28 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
63,Seven Mile Beach Dental Clinic,61,Healthcare & Medical,Human Health and Social Work Activities,10,5,52000,Pro,"Medical recruitment shouldn't cost CI$104,000+. careers.ky: streamlined hiring, same quality talent.",,
64,Real Deal Ltd,60,Other Services,Administrative and Support Service Activities,116,57,0,Enterprise,You posted 116 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
65,Hospitality Services Ltd. T/a Hospitality Services Ltd,60,Healthcare & Medical,Administrative and Support Service Activities,73,27,0,Enterprise,You posted 73 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
66,Market Street Ltd.,60,Grocery & Retail,Administrative and Support Service Activities,63,13,0,Enterprise,You posted 63 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
67,Pb Employee Co Ltd,60,Other Services,Administrative and Support Service Activities,61,26,0,Enterprise,You posted 61 jobs last year. careers.ky gives you direct access to Caymanian talent for every one of them.,,
68,Hurley's (grand Harbour) Ltd. T/a Hurley's Market Place,60,Accounting & Audit (Big 4 + local),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,42,19,0,Enterprise,42 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
69,A. L. Thompson Building Supplies Ltd. T/a A. L. Thompson's,60,Other Services,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,39,24,0,Enterprise,39 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
70,Tortuga Rum Company Limited,60,Other Services,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,38,26,0,Enterprise,38 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
71,Associated Industries Ltd. T/a Parker's/scott Fences/ai Wholesale,60,Other Services,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,31,14,0,Enterprise,31 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
72,Cayman Premix Limited T/a Supermix,60,Other Services,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,29,15,0,Enterprise,29 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
73,Dac Ltd T/a Dac Plumbing & A/c Mechanical,60,Construction & Contractors,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,27,8,0,Enterprise,27 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
74,Eurocar (cayman) Ltd.,60,Automotive & Marine,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,25,6,0,Enterprise,25 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
75,Kjr Group Ltd. T/a Islandwide Distributors,60,Other Services,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,21,6,0,Enterprise,21 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
76,One Gt Services Limited,60,Real Estate & Property Management,Real Estate Activities,16,10,0,Pro,"16 hires. careers.ky direct: eliminate recruiter fees (~CI$48,000 saved annually).",,
77,Tuna Frenzy Ltd.,60,Real Estate & Property Management,Real Estate Activities,14,3,0,Pro,"14 hires. careers.ky direct: eliminate recruiter fees (~CI$42,000 saved annually).",,
78,Surebuilt Construction Ltd.,60,Construction & Contractors,Construction,14,4,135000,Pro,"14 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
79,Maverick Group Ltd T/a Turnkey,60,Accounting & Audit (Big 4 + local),Real Estate Activities,12,7,0,Pro,"12 hires. careers.ky direct: eliminate recruiter fees (~CI$36,000 saved annually).",,
80,T's Spot Property Management & Maintenance,60,Real Estate & Property Management,Real Estate Activities,10,1,0,Pro,"10 hires. careers.ky direct: eliminate recruiter fees (~CI$30,000 saved annually).",,
81,Island Companies Ltd.,59,Other Services,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,12,5,60000,Pro,12 retail + logistics posts. careers.ky gives you direct pipeline year-round.,,
82,Sea Grape Secretarial Service,58,Other Services,Professional,43,22,27118,Enterprise,43 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
83,Red Sail Sports Cayman Ltd,58,Transportation & Logistics,Transportation and Storage,39,20,33800,Enterprise,"39 hires. careers.ky direct: eliminate recruiter fees (~CI$117,000 saved annually).",,
84,Teann Lara Bodden T/a Caribcay Construction,58,Construction & Contractors,Construction,37,11,0,Enterprise,"37 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
85,Prime Consulting Ltd,58,Professional Consulting,Professional,32,24,26720,Enterprise,32 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
86,Faithia Pars T/a D & F Unique Construction,58,Construction & Contractors,Construction,28,10,0,Enterprise,"28 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
87,Advance Fire & Plumbing Ltd.,58,Construction & Contractors,Construction,26,17,0,Enterprise,"26 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
88,Kcb Construction Ltd,58,Construction & Contractors,Construction,24,13,0,Enterprise,"24 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
89,Ricco Construction Ltd T/a Ricco Construction,58,Construction & Contractors,Construction,23,9,0,Enterprise,"23 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
90,Pro Stars Ltd T/a Prostars Construction,58,Construction & Contractors,Construction,23,8,0,Enterprise,"23 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
91,Warren Greene Ltd.,58,Construction & Contractors,Construction,23,5,0,Enterprise,"23 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
92,Dew Point Air Conditioning & Refrigeration Ltd.,58,Construction & Contractors,Construction,23,10,0,Enterprise,"23 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
93,Itc International Ltd,58,Construction & Contractors,Construction,22,7,0,Enterprise,"22 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
94,Eccleston Electric,58,Construction & Contractors,Construction,21,11,0,Enterprise,"21 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
95,Build Cayman Ltd,58,Construction & Contractors,Construction,21,6,0,Enterprise,"21 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
96,Angella Thompson,58,Construction & Contractors,Construction,21,12,0,Enterprise,"21 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
97,Digicel Cayman Ltd.,58,Technology & Fintech,Information and Communication,14,7,0,Pro,"14 hires. careers.ky direct: eliminate recruiter fees (~CI$42,000 saved annually).",,
98,Westtel Ltd T/a Logic,58,Technology & Fintech,Information and Communication,12,4,0,Pro,"12 hires. careers.ky direct: eliminate recruiter fees (~CI$36,000 saved annually).",,
99,Reed Consulting Engineers,58,Professional Consulting,Professional,10,6,110906,Pro,10 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
100,Encompass Ltd,57,Construction & Contractors,Construction,15,13,87500,Pro,"15 positions, price-sensitive budget. careers.ky eliminates recruiter markup entirely.",,
101,Pricewaterhousecoopers,56,Other Services,Professional,38,17,0,Enterprise,38 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
102,Went Global Ltd T/a Fastsigns 1900,56,Other Services,Arts,38,15,0,Enterprise,"38 hires. careers.ky direct: eliminate recruiter fees (~CI$114,000 saved annually).",,
103,Geoffrey Dixon T/a Zippy Farm,56,Accounting & Audit (Big 4 + local),Agriculture,37,15,0,Enterprise,"37 hires. careers.ky direct: eliminate recruiter fees (~CI$111,000 saved annually).",,
104,Dart People Ltd. T/a Dart,56,Other Services,Professional,34,14,0,Enterprise,34 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
105,Cellular World Ltd T/a Cellular World Repairs,56,Other Services,Other Service Activities,32,12,0,Enterprise,"32 hires. careers.ky direct: eliminate recruiter fees (~CI$96,000 saved annually).",,
106,Kpmg,56,Accounting & Audit (Big 4 + local),Professional,27,13,0,Enterprise,27 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
107,Scott Development Co. Ltd,56,Transportation & Logistics,Transportation and Storage,25,16,0,Enterprise,"25 hires. careers.ky direct: eliminate recruiter fees (~CI$75,000 saved annually).",,
108,Cayman Spirits Company,56,Manufacturing & Industrial,Manufacturing,24,17,0,Enterprise,"24 hires. careers.ky direct: eliminate recruiter fees (~CI$72,000 saved annually).",,
109,Deloitte & Touche T/a Deloitte,56,Accounting & Audit (Big 4 + local),Professional,24,9,0,Enterprise,24 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
110,Harneys (harney Westwood & Riegels / Harneys Fiduciary (cayman) Limited),56,Offshore Law Firms,Professional,24,13,0,Enterprise,24 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
111,The Captain's Bakery (cayman) Limited,56,Manufacturing & Industrial,Manufacturing,23,18,0,Enterprise,"23 hires. careers.ky direct: eliminate recruiter fees (~CI$69,000 saved annually).",,
112,Travers Thorp Alberga,56,Other Services,Professional,20,13,0,Enterprise,20 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
113,Dara Keogh & Greg O'driscoll T/a Grant Thornton,56,Accounting & Audit (Big 4 + local),Professional,20,4,0,Enterprise,20 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
114,Cayman Aba Ltd.,56,Healthcare & Medical,Human Health and Social Work Activities,19,7,0,Pro,"Medical recruitment shouldn't cost CI$190,000+. careers.ky: streamlined hiring, same quality talent.",,
115,Triple C School,56,Education & Training,Education,16,6,0,Pro,16 teaching + admin roles. careers.ky connects you with qualified local talent faster.,,
116,Ctmh Doctors Hospital,56,Healthcare & Medical,Human Health and Social Work Activities,15,3,0,Pro,"Medical recruitment shouldn't cost CI$150,000+. careers.ky: streamlined hiring, same quality talent.",,
117,The Education Connection Ltd. T/a Hope Academy,56,Education & Training,Education,14,13,0,Pro,14 teaching + admin roles. careers.ky connects you with qualified local talent faster.,,
118,Rehoboth Physio & Paincare Holdings Ltd; T/a Rehoboth Group Of Companies,56,Healthcare & Medical,Human Health and Social Work Activities,13,11,0,Pro,"Medical recruitment shouldn't cost CI$130,000+. careers.ky: streamlined hiring, same quality talent.",,
119,Calvary Baptist Christian Academy Ltd.,56,Education & Training,Education,12,2,0,Pro,12 teaching + admin roles. careers.ky connects you with qualified local talent faster.,,
120,Clever Fish Limited T/a Clever Fish,56,Education & Training,Education,12,3,0,Pro,12 teaching + admin roles. careers.ky connects you with qualified local talent faster.,,
121,Grand Cayman Primary School Ltd. T/A Shining Stars Childhood Care & Education Center,56,Education & Training,Education,12,2,0,Pro,12 teaching + admin roles. careers.ky connects you with qualified local talent faster.,,
122,Total Health Ltd.,56,Healthcare & Medical,Human Health and Social Work Activities,11,7,0,Pro,"Medical recruitment shouldn't cost CI$110,000+. careers.ky: streamlined hiring, same quality talent.",,
123,Smiles Dental Clinic Ltd.,56,Healthcare & Medical,Human Health and Social Work Activities,11,5,0,Pro,"Medical recruitment shouldn't cost CI$110,000+. careers.ky: streamlined hiring, same quality talent.",,
124,Precious Gems Pre-school And After Care Centre,56,Education & Training,Education,10,4,0,Pro,10 teaching + admin roles. careers.ky connects you with qualified local talent faster.,,
125,The Pines Retirement Home,56,Healthcare & Medical,Human Health and Social Work Activities,10,8,0,Pro,"Medical recruitment shouldn't cost CI$100,000+. careers.ky: streamlined hiring, same quality talent.",,
126,Little Trotters,56,Education & Training,Education,10,5,0,Pro,10 teaching + admin roles. careers.ky connects you with qualified local talent faster.,,
127,Kirk Freeport Plaza Ltd,56,Other Services,Financial and Insurance Activities,7,4,50000,Pro,"7 positions at 50000K avg. careers.ky: direct to talent, zero recruiter fees.",,
128,Ocean Frontiers Ltd.,55,Other Services,Administrative and Support Service Activities,29,17,33003,Enterprise,"29 hires. careers.ky direct: eliminate recruiter fees (~CI$87,000 saved annually).",,
129,Cayman Airways Ltd.,55,Transportation & Logistics,Transportation and Storage,19,12,68974,Pro,"19 hires. careers.ky direct: eliminate recruiter fees (~CI$57,000 saved annually).",,
130,Island Bites Ltd.,55,Other Services,Accommodation and Food Service Activities,19,5,26910,Pro,"You posted 19 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
131,Pyramid Sunshine Hotel Services Ltd.,55,Other Services,Accommodation and Food Service Activities,14,14,21750,Pro,"You posted 14 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
132,The Watermark Strata 1082,55,Other Services,Activities of Households as Employers; Undifferentiated Goods- And Services-Producing Activities of Households for Own Use,14,7,72000,Pro,"14 hires. careers.ky direct: eliminate recruiter fees (~CI$42,000 saved annually).",,
133,ISS (CAYMAN) LTD.,55,Other Services,Unknown,12,12,73917,Pro,"12 hires. careers.ky direct: eliminate recruiter fees (~CI$36,000 saved annually).",,
134,Mourant Cayman Limited,55,Offshore Law Firms,Professional,12,5,95000,Pro,12 hires. careers.ky takes the work permit headache out. Skip the recruiter middleman.,,
135,Cayman Prep and High School,55,Education & Training,Unknown,11,11,72477,Pro,"11 hires. careers.ky direct: eliminate recruiter fees (~CI$33,000 saved annually).",,
136,Marco T. Duarte-ezekiel T/a Efficient Administrative Assistants,53,Other Services,Administrative and Support Service Activities,33,12,0,Enterprise,"33 hires. careers.ky direct: eliminate recruiter fees (~CI$99,000 saved annually).",,
137,Chester Frederick T/a Cayman Paradise Tours,53,Transportation & Logistics,Administrative and Support Service Activities,30,3,0,Enterprise,"30 hires. careers.ky direct: eliminate recruiter fees (~CI$90,000 saved annually).",,
138,Richard Parchment,53,Other Services,Administrative and Support Service Activities,27,25,0,Enterprise,"27 hires. careers.ky direct: eliminate recruiter fees (~CI$81,000 saved annually).",,
139,Dreamland Investors Limited T/a Property Doctors,53,Real Estate & Property Management,Administrative and Support Service Activities,24,4,0,Enterprise,"24 hires. careers.ky direct: eliminate recruiter fees (~CI$72,000 saved annually).",,
140,Ak Services Limited,53,Other Services,Administrative and Support Service Activities,20,5,0,Enterprise,"20 hires. careers.ky direct: eliminate recruiter fees (~CI$60,000 saved annually).",,
141,Reliable Industries Ltd,53,Other Services,Administrative and Support Service Activities,20,10,0,Enterprise,"20 hires. careers.ky direct: eliminate recruiter fees (~CI$60,000 saved annually).",,
142,Mn Ventures Ltd T/a Karoo,53,Other Services,Accommodation and Food Service Activities,19,6,0,Pro,"You posted 19 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
143,Nm Ventures Ltd T/a Abacus,53,Other Services,Accommodation and Food Service Activities,19,6,0,Pro,"You posted 19 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
144,Ccmn Ltd. T/a Loco,53,Other Services,Accommodation and Food Service Activities,18,6,0,Pro,"You posted 18 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
145,Good Old Days Restaurant Ltd.,53,Restaurants & F&B,Accommodation and Food Service Activities,17,7,0,Pro,"You posted 17 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
146,West Bay Hospitality Ltd,53,Healthcare & Medical,Accommodation and Food Service Activities,16,5,0,Pro,"You posted 16 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
147,Bacaro Ltd,53,Automotive & Marine,Accommodation and Food Service Activities,16,13,0,Pro,"You posted 16 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
148,TELL-ALL LTD. T/A GRAND OLD HOUSE,53,Other Services,Accommodation and Food Service Activities,16,12,0,Pro,"You posted 16 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
149,Ttrg Ltd,53,Other Services,Accommodation and Food Service Activities,15,13,0,Pro,"You posted 15 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
150,Sunset House Limited,53,Other Services,Accommodation and Food Service Activities,14,10,0,Pro,"You posted 14 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
151,Azzip Ltd. T/a Pizza Hut,53,Restaurants & F&B,Accommodation and Food Service Activities,13,6,0,Pro,"You posted 13 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
152,Cayman Cabana Ltd,53,Other Services,Accommodation and Food Service Activities,13,11,0,Pro,"You posted 13 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
153,The Wharf Restaurant Ltd,53,Restaurants & F&B,Accommodation and Food Service Activities,13,8,0,Pro,"You posted 13 jobs for seasonal staff. careers.ky: instant access, no recruiter markup.",,
